SiteYear,StationName.x,YearSampled.x,CDD,CDD_172,MWAT,mn_summer,count,Year,Site,Length_n,SampleType,Lake,YearSampled.y,DateSampled,StationName.y,Species,Length,Mass,Month,threshold,error_rate,age
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,87,7.92,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,97,NA,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,84,6.8,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,95,11.06,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,83,6.97,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,85,7.48,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,87,8.45,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,99,9.81,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,77,5.9,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,102,12.85,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,82,6.24,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,104,13.3,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,87,7.27,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,86,8.85,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,74,NA,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,66,NA,8,67.24138217164273,0.01898,0
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,124,24.25,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,90,8.04,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,82,NA,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,98,NA,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,84,NA,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,98,NA,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,80,NA,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,91,8.5,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-04T00:00:00Z,Bear Creek,Coho salmon,75,NA,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-11T00:00:00Z,Bear Creek,Coho salmon,108,13.95,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-11T00:00:00Z,Bear Creek,Coho salmon,43,NA,8,67.24138217164273,0.01898,0
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-11T00:00:00Z,Bear Creek,Coho salmon,90,8.22,8,67.24138217164273,0.01898,1
Bear_Creek_2011,Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear_Creek,283,Stick Seine,Aleknagik,2011,2011-08-11T00:00:00Z,Bear Creek,Coho salmon,84,7.27,8,67.24138217164273,0.01898,1
